Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
8/10/23;Villareal;1;5;8;5;51;436;86;7;4;0;2;0;0;0;1;0;0;1;0
5/10/23;Villareal;5;3;17;4;53;379;85;18;2;0;6;0;0;0;0;0;1;1;0
30/9/23;Villareal;1;1;3;0;35;269;69;11;4;1;4;0;0;0;0;1;0;1;0
27/9/23;Villareal;1;7;17;5;46;405;87;11;2;0;6;0;0;0;1;0;0;1;0
24/9/23;Villareal;1;1;13;6;60;474;85;18;1;1;8;0;0;0;0;1;0;1;0
21/9/23;Villareal;5;3;4;1;58;525;86;10;4;0;4;0;0;0;0;0;1;1;0
17/9/23;Villareal;1;3;17;7;37;295;75;6;3;0;6;0;0;0;0;0;1;1;0
1/9/23;Villareal;1;0;7;3;58;430;83;15;4;1;3;0;0;0;0;0;1;1;0
27/8/23;Villareal;1;0;21;11;61;592;91;14;3;0;6;0;0;0;1;0;0;1;0
18/8/23;Villareal;1;0;15;3;61;517;89;11;4;0;5;0;0;0;1;0;0;1;0
13/8/23;Villareal;1;3;12;5;36;317;79;17;3;0;4;0;0;0;1;0;0;1;0
27/7/23;Villareal;6;0;3;2;49;439;88;11;2;0;1;0;0;0;0;1;0;1;0
4/6/23;Villareal;1;4;9;3;33;315;80;12;2;1;1;0;0;0;0;1;0;1;0
28/5/23;Villareal;1;3;7;2;69;557;83;9;4;0;6;0;0;0;0;0;1;1;0
24/5/23;Villareal;1;1;16;8;34;288;76;8;2;0;6;0;0;0;0;0;1;1;0
20/5/23;Villareal;1;3;10;5;55;509;88;11;1;0;1;0;0;0;1;0;0;1;0
13/5/23;Villareal;1;3;11;5;43;342;76;13;3;0;5;0;0;0;0;0;1;1;0
3/5/23;Villareal;1;0;11;4;68;496;85;13;2;0;6;0;0;0;0;1;0;1;0
13/1/23;Villareal;1;7;3;1;49;503;86;8;2;0;3;0;0;0;0;1;0;1;0
7/1/23;Villareal;1;0;13;3;52;485;86;6;1;0;5;0;0;0;0;0;1;1;0
3/1/23;Villareal;19;0;18;9;66;560;89;12;2;0;3;0;0;0;1;0;0;1;0
31/12/22;Villareal;1;0;13;4;47;345;80;16;4;0;2;0;0;0;0;0;1;1;0
20/12/22;Villareal;19;3;11;4;72;849;87;8;0;0;2;0;0;0;1;0;0;1;0
6/12/22;Villareal;6;0;10;7;52;457;85;13;3;0;3;0;0;0;1;0;0;1;0
3/12/22;Villareal;6;0;8;3;54;456;85;22;1;0;3;0;0;0;0;0;1;1;0
12/11/22;Villareal;19;0;29;15;76;640;92;15;0;0;5;0;0;0;1;0;0;1;0
9/11/22;Villareal;1;0;10;3;56;532;89;6;3;0;7;0;0;0;1;0;0;1;0
6/11/22;Villareal;1;9;7;5;28;242;73;16;6;0;2;0;0;0;1;0;0;1;0
3/11/22;Villareal;21;0;11;2;73;696;91;12;1;0;6;0;0;0;0;0;1;1;0
27/10/22;Villareal;21;1;10;2;22;189;74;19;4;0;0;0;0;0;0;1;0;1;0
23/10/22;Villareal;1;4;15;4;48;412;81;8;1;0;4;0;0;0;0;0;1;1;0
20/10/22;Villareal;1;1;5;1;30;328;84;11;1;0;0;0;0;0;0;0;1;1;0
17/10/22;Villareal;1;7;14;3;41;289;80;23;6;0;4;0;0;0;0;0;1;1;0
13/10/22;Villareal;21;1;6;2;64;627;89;5;4;0;3;0;0;0;1;0;0;1;0
9/10/22;Villareal;1;1;5;1;39;340;82;18;3;0;3;0;0;0;0;0;1;1;0
6/10/22;Villareal;21;3;14;3;52;470;85;6;1;0;3;0;0;0;0;0;1;1;0
