Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
18/5/24;Lecce;4;1;11;3;44;434;82;7;0;0;2;0;0;0;0;0;1;0;1
13/5/24;Lecce;4;8;9;2;65;530;82;12;2;0;8;0;0;0;0;0;1;0;1
5/5/24;Lecce;4;1;16;3;67;432;83;15;4;0;10;0;1;1;0;1;0;1;0
27/4/24;Lecce;4;1;12;4;46;387;81;13;2;0;0;0;1;1;0;1;0;0;1
21/4/24;Lecce;4;1;14;8;44;340;68;13;0;0;4;2;1;3;1;0;0;1;0
13/4/24;Lecce;4;3;14;7;54;354;76;18;1;0;10;0;1;1;1;0;0;0;1
6/4/24;Lecce;4;0;11;7;35;347;86;8;1;1;1;0;0;0;0;0;1;1;0
1/4/24;Lecce;4;1;27;6;39;332;74;9;3;0;8;0;0;0;0;1;0;0;1
16/3/24;Lecce;4;3;17;4;28;283;76;18;3;0;1;1;0;1;1;0;0;1;0
10/3/24;Lecce;4;0;15;3;56;322;68;15;3;0;11;0;0;0;0;0;1;0;1
3/3/24;Lecce;4;3;11;4;35;223;62;10;1;0;8;0;1;1;0;1;0;1;0
25/2/24;Lecce;4;3;14;2;39;353;83;13;1;0;7;0;0;0;0;0;1;0;1
16/2/24;Lecce;4;0;8;4;39;336;73;11;2;1;5;0;0;0;0;0;1;1;0
11/2/24;Lecce;4;0;14;3;34;336;75;13;2;0;3;0;0;0;0;0;1;1;0
2/2/24;Lecce;4;3;16;8;44;318;72;13;3;0;1;1;2;3;1;0;0;0;1
28/1/24;Lecce;4;0;19;5;52;373;77;17;2;0;8;1;0;1;0;0;1;1;0
21/1/24;Lecce;4;7;12;3;52;466;84;8;1;0;5;0;0;0;0;0;1;0;1
14/1/24;Lecce;4;0;11;3;47;454;82;12;4;0;5;0;0;0;0;0;1;1;0
6/1/24;Lecce;4;7;15;2;41;265;70;20;1;0;7;1;0;1;0;1;0;0;1
30/12/23;Lecce;4;0;15;2;37;319;72;16;2;0;6;0;0;0;0;0;1;1;0
23/12/23;Lecce;4;0;11;5;31;274;79;14;3;1;2;0;0;0;0;0;1;1;0
16/12/23;Lecce;4;0;17;6;40;307;71;8;1;0;5;1;1;2;1;0;0;0;1
16/12/23;Lecce;4;0;17;6;40;307;71;8;1;0;5;1;1;2;1;0;0;0;1
3/12/23;Lecce;4;3;14;4;42;392;80;12;3;0;6;0;1;1;0;1;0;0;1
27/11/23;Lecce;4;0;14;5;51;381;76;17;2;0;2;1;1;2;0;1;0;1;0
11/11/23;Lecce;4;0;14;5;44;349;79;12;4;0;3;0;2;2;0;1;0;0;1
5/11/23;Lecce;4;0;15;4;39;334;75;11;5;0;2;0;1;1;0;0;1;1;0
1/11/23;Lecce;-1;0;18;6;59;534;86;11;2;0;6;0;2;2;0;0;1;0;1
28/10/23;Lecce;4;0;11;6;48;422;79;17;3;0;3;0;0;0;0;0;1;0;1
23/10/23;Lecce;4;0;12;1;56;390;78;15;5;0;7;0;1;1;0;1;0;1;0
6/10/23;Lecce;4;0;13;4;42;331;74;9;2;0;5;0;1;1;0;1;0;0;1
30/9/23;Lecce;4;0;9;4;43;391;83;11;3;0;3;0;0;0;0;0;1;0;1
22/9/23;Lecce;4;0;18;3;56;434;85;12;1;0;4;0;1;1;1;0;0;0;1
17/9/23;Lecce;4;0;4;3;39;342;84;11;1;1;1;1;0;1;0;1;0;1;0
3/9/23;Lecce;4;0;20;6;45;328;75;17;3;0;6;1;1;2;1;0;0;0;1
27/8/23;Lecce;4;0;6;2;40;305;72;15;3;0;3;0;2;2;0;1;0;1;0
20/8/23;Lecce;4;0;23;7;47;458;85;12;3;0;5;0;2;2;1;0;0;0;1
13/8/23;Lecce;-1;0;25;10;53;437;83;17;2;0;7;1;0;1;1;0;0;0;1
4/6/23;Lecce;4;0;20;7;38;342;81;11;1;0;7;1;1;2;0;0;1;0;1
28/5/23;Lecce;4;0;9;1;26;225;70;20;3;0;3;0;1;1;1;0;0;1;0
21/5/23;Lecce;4;0;6;1;39;268;68;15;2;0;2;0;0;0;0;1;0;0;1
12/5/23;Lecce;4;0;13;4;33;296;68;13;5;0;3;1;1;2;0;1;0;1;0
7/5/23;Lecce;4;0;15;2;53;393;71;11;2;0;4;0;0;0;0;0;1;0;1
3/5/23;Lecce;4;0;14;5;45;382;81;10;2;0;7;1;0;1;0;0;1;1;0
28/4/23;Lecce;4;0;15;3;38;270;68;21;4;0;7;0;1;1;1;0;0;0;1
23/4/23;Lecce;4;0;9;4;31;287;68;10;0;0;2;0;0;0;0;0;1;1;0
16/4/23;Lecce;4;7;30;11;41;310;72;16;1;0;11;1;0;1;0;1;0;0;1
7/4/23;Lecce;4;0;11;3;31;319;73;12;2;0;5;0;1;1;0;0;1;0;1
3/4/23;Lecce;4;0;5;0;47;345;68;15;2;0;4;0;0;0;0;0;1;1;0
19/3/23;Lecce;4;0;8;2;40;315;69;21;3;0;3;0;0;0;0;0;1;1;0
12/3/23;Lecce;4;0;12;1;56;429;78;16;3;0;9;0;0;0;0;0;1;0;1
5/3/23;Lecce;4;0;11;1;37;313;75;11;0;0;4;0;0;0;0;0;1;1;0
25/2/23;Lecce;4;0;16;0;41;324;65;17;2;0;4;0;0;0;0;0;1;0;1
19/2/23;Lecce;4;0;4;2;30;281;65;12;3;0;1;1;1;2;1;0;0;1;0
11/2/23;Lecce;4;0;8;3;42;343;71;24;4;0;3;1;0;1;0;1;0;0;1
4/2/23;Lecce;4;0;9;4;41;358;70;15;2;0;8;0;2;2;1;0;0;1;0
27/1/23;Lecce;4;0;15;5;61;532;81;14;2;0;4;1;0;1;0;0;1;0;1
21/1/23;Lecce;4;0;9;3;59;446;73;12;0;0;4;0;0;0;0;0;1;1;0
14/1/23;Lecce;4;0;17;3;35;273;67;11;1;0;8;2;0;2;0;1;0;0;1
8/1/23;Lecce;4;0;15;4;42;312;64;15;1;0;7;0;0;0;0;1;0;1;0
4/1/23;Lecce;4;0;11;4;40;377;70;16;3;0;4;0;2;2;1;0;0;0;1
12/11/22;Lecce;4;0;11;3;43;309;59;19;3;0;0;1;1;2;1;0;0;1;0
9/11/22;Lecce;4;0;15;3;38;325;64;11;1;0;4;2;0;2;1;0;0;0;1
4/11/22;Lecce;4;0;9;1;42;339;67;18;3;0;2;1;0;1;0;1;0;1;0
29/10/22;Lecce;4;3;5;0;36;301;68;16;3;0;7;0;0;0;0;0;1;0;1
23/10/22;Lecce;4;3;8;4;46;358;74;14;2;0;4;0;0;0;0;0;1;1;0
17/10/22;Lecce;4;0;6;2;40;302;69;15;3;1;2;1;0;1;0;1;0;0;1
9/10/22;Lecce;4;0;6;3;33;275;71;11;2;1;4;1;0;1;0;0;1;1;0
2/10/22;Lecce;4;7;6;1;55;400;74;11;3;0;1;1;0;1;0;1;0;0;1
16/9/22;Lecce;4;0;13;4;42;368;79;11;3;0;5;1;1;2;1;0;0;1;0
11/9/22;Lecce;4;0;7;3;53;373;81;18;3;0;8;0;1;1;0;1;0;0;1
5/9/22;Lecce;4;7;9;2;41;328;70;8;1;0;4;0;0;0;0;0;1;1;0
31/8/22;Lecce;4;7;9;4;29;265;72;20;4;0;4;1;0;1;0;1;0;1;0
28/8/22;Lecce;4;0;15;5;40;302;77;10;1;0;3;1;0;1;0;1;0;0;1
20/8/22;Lecce;4;0;7;1;41;341;81;12;1;0;4;0;0;0;0;0;1;1;0
